,index,year,state,office,candidate,candidatevotes,totalvotes,party_simplified
4,11,1976,ARIZONA,US PRESIDENT,"FORD, GERALD",418642,742719,REPUBLICAN
5,12,1976,ARIZONA,US PRESIDENT,"CARTER, JIMMY",295602,742719,DEMOCRAT
18,55,1976,FLORIDA,US PRESIDENT,"CARTER, JIMMY",1636000,3150631,DEMOCRAT
19,56,1976,FLORIDA,US PRESIDENT,"FORD, GERALD",1469531,3150631,REPUBLICAN
20,60,1976,GEORGIA,US PRESIDENT,"CARTER, JIMMY",979409,1463152,DEMOCRAT
21,61,1976,GEORGIA,US PRESIDENT,"FORD, GERALD",483743,1463152,REPUBLICAN
44,133,1976,MICHIGAN,US PRESIDENT,"FORD, GERALD",1893742,3651590,REPUBLICAN
45,134,1976,MICHIGAN,US PRESIDENT,"CARTER, JIMMY",1696714,3651590,DEMOCRAT
46,141,1976,MINNESOTA,US PRESIDENT,"CARTER, JIMMY",1070440,1949931,DEMOCRAT
47,142,1976,MINNESOTA,US PRESIDENT,"FORD, GERALD",819395,1949931,REPUBLICAN
56,172,1976,NEVADA,US PRESIDENT,"FORD, GERALD",101273,201876,REPUBLICAN
57,173,1976,NEVADA,US PRESIDENT,"CARTER, JIMMY",92479,201876,DEMOCRAT
66,212,1976,NORTH CAROLINA,US PRESIDENT,"CARTER, JIMMY",927365,1677906,DEMOCRAT
67,213,1976,NORTH CAROLINA,US PRESIDENT,"FORD, GERALD",741960,1677906,REPUBLICAN
76,246,1976,PENNSYLVANIA,US PRESIDENT,"CARTER, JIMMY",2328677,4620787,DEMOCRAT
77,247,1976,PENNSYLVANIA,US PRESIDENT,"FORD, GERALD",2205604,4620787,REPUBLICAN
98,320,1976,WISCONSIN,US PRESIDENT,"CARTER, JIMMY",1040232,2101336,DEMOCRAT
99,321,1976,WISCONSIN,US PRESIDENT,"FORD, GERALD",1004987,2101336,REPUBLICAN
106,347,1980,ARIZONA,US PRESIDENT,"REAGAN, RONALD",529688,873945,REPUBLICAN
107,348,1980,ARIZONA,US PRESIDENT,"CARTER, JIMMY",246843,873945,DEMOCRAT
120,397,1980,FLORIDA,US PRESIDENT,"REAGAN, RONALD",2046951,3686927,REPUBLICAN
121,398,1980,FLORIDA,US PRESIDENT,"CARTER, JIMMY",1419475,3686927,DEMOCRAT
122,402,1980,GEORGIA,US PRESIDENT,"CARTER, JIMMY",890955,1596805,DEMOCRAT
123,403,1980,GEORGIA,US PRESIDENT,"REAGAN, RONALD",654168,1596805,REPUBLICAN
146,486,1980,MICHIGAN,US PRESIDENT,"REAGAN, RONALD",1915225,3909725,REPUBLICAN
147,487,1980,MICHIGAN,US PRESIDENT,"CARTER, JIMMY",1661532,3909725,DEMOCRAT
148,493,1980,MINNESOTA,US PRESIDENT,"CARTER, JIMMY",954173,2051916,DEMOCRAT
149,494,1980,MINNESOTA,US PRESIDENT,"REAGAN, RONALD",873268,2051916,REPUBLICAN
158,524,1980,NEVADA,US PRESIDENT,"REAGAN, RONALD",155017,243692,REPUBLICAN
159,525,1980,NEVADA,US PRESIDENT,"CARTER, JIMMY",66666,243692,DEMOCRAT
168,568,1980,NORTH CAROLINA,US PRESIDENT,"REAGAN, RONALD",915018,1855833,REPUBLICAN
169,569,1980,NORTH CAROLINA,US PRESIDENT,"CARTER, JIMMY",875635,1855833,DEMOCRAT
178,603,1980,PENNSYLVANIA,US PRESIDENT,"REAGAN, RONALD",2261872,4561501,REPUBLICAN
179,604,1980,PENNSYLVANIA,US PRESIDENT,"CARTER, JIMMY",1937540,4561501,DEMOCRAT
200,681,1980,WISCONSIN,US PRESIDENT,"REAGAN, RONALD",1088845,2273221,REPUBLICAN
201,682,1980,WISCONSIN,US PRESIDENT,"CARTER, JIMMY",981584,2273221,DEMOCRAT
208,707,1984,ARIZONA,US PRESIDENT,"REAGAN, RONALD",681416,1025897,REPUBLICAN
209,708,1984,ARIZONA,US PRESIDENT,"MONDALE, WALTER",333854,1025897,DEMOCRAT
222,754,1984,FLORIDA,US PRESIDENT,"REAGAN, RONALD",2730350,4180051,REPUBLICAN
223,755,1984,FLORIDA,US PRESIDENT,"MONDALE, WALTER",1448816,4180051,DEMOCRAT
224,757,1984,GEORGIA,US PRESIDENT,"REAGAN, RONALD",1068722,1776103,REPUBLICAN
225,758,1984,GEORGIA,US PRESIDENT,"MONDALE, WALTER",706628,1776103,DEMOCRAT
248,829,1984,MICHIGAN,US PRESIDENT,"REAGAN, RONALD",2251571,3801658,REPUBLICAN
249,830,1984,MICHIGAN,US PRESIDENT,"MONDALE, WALTER",1529638,3801658,DEMOCRAT
250,840,1984,MINNESOTA,US PRESIDENT,"MONDALE, WALTER",1036364,2084449,DEMOCRAT
251,841,1984,MINNESOTA,US PRESIDENT,"REAGAN, RONALD",1032603,2084449,REPUBLICAN
260,869,1984,NEVADA,US PRESIDENT,"REAGAN, RONALD",188770,282717,REPUBLICAN
261,870,1984,NEVADA,US PRESIDENT,"MONDALE, WALTER",91655,282717,DEMOCRAT
270,903,1984,NORTH CAROLINA,US PRESIDENT,"REAGAN, RONALD",1346481,2175361,REPUBLICAN
271,904,1984,NORTH CAROLINA,US PRESIDENT,"MONDALE, WALTER",824287,2175361,DEMOCRAT
280,932,1984,PENNSYLVANIA,US PRESIDENT,"REAGAN, RONALD",2584323,4844903,REPUBLICAN
281,933,1984,PENNSYLVANIA,US PRESIDENT,"MONDALE, WALTER",2228131,4844903,DEMOCRAT
302,1005,1984,WISCONSIN,US PRESIDENT,"REAGAN, RONALD",1198584,2211689,REPUBLICAN
303,1006,1984,WISCONSIN,US PRESIDENT,"MONDALE, WALTER",995740,2211689,DEMOCRAT
310,1030,1988,ARIZONA,US PRESIDENT,"BUSH, GEORGE H.W.",702541,1171873,REPUBLICAN
311,1031,1988,ARIZONA,US PRESIDENT,"DUKAKIS, MICHAEL",454029,1171873,DEMOCRAT
324,1070,1988,FLORIDA,US PRESIDENT,"BUSH, GEORGE H.W.",2618885,4302313,REPUBLICAN
325,1071,1988,FLORIDA,US PRESIDENT,"DUKAKIS, MICHAEL",1656701,4302313,DEMOCRAT
326,1075,1988,GEORGIA,US PRESIDENT,"BUSH, GEORGE H.W.",1081331,1809672,REPUBLICAN
